,Albany,Atlanta,Baton,Bridgeport,Chicago,Duluth,Fort_wayne,Hartford,Jackson_MS,Knoxvile,Lansing_east,Modesto,Montgomery,newyork,Oklahoma
Albany,586.1580200195312,1113.0406494140625,307.52679443359375,1937.3563232421875,4133.99462890625,347.6500549316406,1150.6456298828125,1185.05078125,233.76922607421875,847.2435302734375,2356.943603515625,1204.2301025390625,306.15020751953125,14440.0751953125,1701.3763427734375
Atlanta,1119.107177734375,851.1707763671875,644.5050659179688,1756.833740234375,4088.631591796875,411.096435546875,680.8037719726562,995.5164184570312,282.2475891113281,834.2918090820312,2441.502685546875,1270.0731201171875,266.9895935058594,14180.2998046875,635.556640625
Baton,1654.443359375,1547.03125,263.9770812988281,3016.472900390625,5161.6962890625,809.8129272460938,535.4387817382812,1887.391845703125,474.58123779296875,1179.720458984375,2625.052490234375,2048.353515625,549.677490234375,16597.55078125,998.8925170898438
Bridgeport,720.5967407226562,1528.4434814453125,588.5828857421875,1146.425537109375,4661.6376953125,760.81201171875,1865.7801513671875,811.44873046875,473.53094482421875,1973.3607177734375,2273.21337890625,1234.9527587890625,401.421875,12415.5625,5548.82080078125
Chicago,892.2803344726562,961.9837036132812,607.0900268554688,1377.16162109375,2399.49658203125,369.5052795410156,392.1013488769531,897.8049926757812,243.79153442382812,929.1805419921875,2409.85400390625,890.7674560546875,407.34027099609375,12249.16796875,694.79833984375
Duluth,1307.4527587890625,1693.7720947265625,352.09442138671875,2656.365966796875,7008.2529296875,490.1425476074219,4454.1455078125,1489.482666015625,861.9024047851562,3951.184326171875,2422.847412109375,1958.955322265625,348.05322265625,16398.80859375,11966.5576171875
Fort_wayne,1357.138427734375,1201.654541015625,453.6069030761719,2529.2353515625,5121.46728515625,701.6692504882812,310.10882568359375,1344.0072021484375,629.0328979492188,1232.249267578125,2611.110595703125,1552.990234375,709.2105712890625,16387.2265625,993.1455688476562
Hartford,902.9978637695312,1230.63427734375,521.5530395507812,1624.59716796875,4799.75146484375,687.669677734375,681.4947509765625,551.6487426757812,289.630615234375,2063.7138671875,2870.98876953125,2970.89306640625,429.12701416015625,14029.66796875,1158.2286376953125
Jackson_MS,1449.0745849609375,1136.8031005859375,474.3508605957031,2761.49462890625,5129.9833984375,1814.073974609375,768.328125,1485.83447265625,247.53639221191406,1565.45947265625,2427.180419921875,1566.1624755859375,319.3162841796875,16427.537109375,668.7150268554688
Knoxvile,1630.6973876953125,1151.9683837890625,412.34075927734375,2620.719482421875,4692.85400390625,808.02490234375,542.003173828125,1727.2034912109375,452.6715393066406,616.3296508789062,2621.678466796875,2735.07568359375,411.96966552734375,15299.130859375,1377.8360595703125
Lansing_east,1629.114990234375,1229.44384765625,423.4782409667969,2956.568603515625,4833.00146484375,650.810546875,995.824951171875,1774.909912109375,359.8143615722656,1070.73583984375,2391.04736328125,1945.9071044921875,348.7645263671875,16725.79296875,599.71875
Modesto,1509.155517578125,1513.3455810546875,336.09808349609375,2734.78857421875,4907.46875,779.5166625976562,484.5065612792969,1486.798583984375,359.04486083984375,1165.134521484375,2611.2109375,621.3020629882812,298.5606384277344,16333.666015625,1001.3580322265625
Montgomery,1673.0843505859375,1395.46142578125,526.2034912109375,3175.092041015625,5321.38916015625,773.2447509765625,582.4234619140625,1930.1044921875,322.7025451660156,1161.7078857421875,2522.4560546875,1832.9222412109375,183.49778747558594,16931.263671875,978.3228149414062
newyork,682.3461303710938,1350.0386962890625,768.5010375976562,1430.79345703125,5039.59130859375,729.0105590820312,2097.5322265625,908.0489501953125,397.3159484863281,757.5797119140625,2213.587158203125,1110.97314453125,314.54931640625,7202.59814453125,2561.580078125
Oklahoma,1642.6614990234375,1560.0015869140625,542.045654296875,2887.1884765625,5189.10888671875,726.3428344726562,685.0562744140625,1735.1068115234375,523.0200805664062,1170.3394775390625,2670.0263671875,1907.6669921875,476.6336364746094,16717.974609375,485.5601806640625
